Date collected	Species	Sex	Weight	Plot	Device_Calibrated									
1978-01-08	DM	F	37	4	yes									
1978-01-08	DM	M	null	4	yes									
1978-01-08	DM	F	48	4	yes									
1978-01-08	DO	M	52	4	yes									
1978-01-08	OL	M	35	4	yes									
2013-07-16	DM	F	null	2	yes									
2013-07-16	DM	M	33	7	yes									
2013-07-16	DM	M	null	3	yes									
2013-07-16	DM	M	null	1	yes									
2013-07-18	DM	M	40	3	yes									
2013-07-18	DM	M	48	7	yes									
2013-07-18	DM	F	29	4	yes									
2013-07-18	DM	F	37	6	yes									
2013-08-19	DO	F	52	8	yes									
2013-10-17	DO	F	33	3	yes									
2013-10-17	DO	F	50	3	yes									
2013-11-12	DS	F	117	9	yes									
2013-11-13	DS	F	126	11	yes									
2013-11-13	DS	M	132	17	no									
2013-11-13	DS	F	113	14	no									
2013-11-13	DS	F	122	11	yes									
2013-11-13	DS	F	107	4	yes									
2013-11-13	DS	F	115	4	yes									
2013-12-10	DO	F	40	9	yes									
2013-12-10	DO	M	45	1	yes									
2013-12-11	DO	F	41	8	yes									
2014-01-08	NA	null	null	2	yes									
2014-01-08	DM	M	44	2	yes									
2014-01-08	PF	F	7	2	yes									
2014-01-08	DM	M	45	2	yes									
2014-01-08	OT	null	null	2	yes									
2014-01-08	DS	M	157	2	no									
2014-01-08	OX	null	null	2	yes									
2014-01-09	DM	M	40	1	yes									
2014-01-09	DM	F	36	1	yes									
2014-02-18	NA	M	218	2	no									
2014-02-18	PF	F	7	2	yes									
2014-02-18	DM	M	52	2	yes									
2014-03-13	DM	F	51	1	yes									
2014-03-13	DM	F	44	1	yes									
2014-03-13	DS	F	146	1	yes									
2015-03-11	PF	M	8	3	yes									
2015-04-08	NA	F	null	3	yes									
2015-05-06	null	null	null	3	yes									
2015-05-18	NA	F	182	3	yes									
2015-06-09	OT	F	29	3	yes									
2015-07-08	NA	F	115	3	yes									
2015-07-08	NA	M	190	3	yes									